,EC,FC,HP_EHR
T4350,4.304,23.1,2.241
T4351,4.266,23.1,2.241
T4352,4.205,23.1,2.241
T4353,4.128,23.1,2.241
T4354,4.083,23.1,2.241
T4355,3.991,23.1,2.241
T4356,4.052,23.1,2.241
T4357,4.052,23.1,2.241
T4358,4.014,23.1,2.241
T4359,4.06,23.1,2.241
T4360,3.991,23.1,2.241
T4361,3.93,23.1,2.241
T4362,3.93,23.1,2.241
T4363,3.953,23.1,2.241
T4364,4.014,23.1,2.241
T4365,4.06,23.1,2.241
T4366,4.121,23.1,2.241
T4367,4.159,23.1,2.241
T4368,4.189,23.1,2.241
T4369,4.182,23.1,2.241
T4370,4.212,23.1,2.241
T4371,4.243,23.1,2.241
T4372,4.258,23.1,2.241
T4373,4.266,23.1,2.241
T4374,4.273,23.1,2.241
T4375,4.205,23.1,2.241
T4376,4.166,23.1,2.241
T4377,4.159,23.1,2.241
T4378,4.067,23.1,2.241
T4379,4.045,23.1,2.241
T4380,3.961,23.1,2.241
T4381,3.93,23.1,2.241
T4382,3.961,23.1,2.241
T4383,3.968,23.1,2.241
T4384,3.961,23.1,2.241
T4385,3.93,23.1,2.241
T4386,3.945,23.1,2.241
T4387,3.976,23.1,2.241
T4388,4.045,23.1,2.241
T4389,4.121,23.1,2.241
T4390,4.197,23.1,2.241
T4391,4.205,23.1,2.241
T4392,4.235,23.1,2.241
T4393,4.288,23.1,2.241
T4394,4.273,23.1,2.241
T4395,4.288,23.1,2.241
T4396,4.326,23.1,2.241
T4397,4.349,23.1,2.241
T4398,4.342,23.1,2.241
T4399,4.311,23.1,2.241
T4400,4.273,23.1,2.241
T4401,4.227,23.1,2.241
T4402,4.166,23.1,2.241
T4403,4.151,23.1,2.241
T4404,4.136,23.1,2.241
T4405,4.083,23.1,2.241
T4406,4.075,23.1,2.241
T4407,4.159,23.1,2.241
T4408,4.212,23.1,2.241
T4409,4.357,23.1,2.241
T4410,4.38,23.1,2.241
T4411,4.304,23.1,2.241
T4412,4.281,23.1,2.241
T4413,4.273,23.1,2.241
T4414,4.319,23.1,2.241
T4415,4.334,23.1,2.241
T4416,4.311,23.1,2.241
T4417,4.288,23.1,2.241
T4418,4.288,23.1,2.241
T4419,4.288,23.1,2.241
T4420,4.266,23.1,2.241
T4421,4.296,23.1,2.241
T4422,4.304,23.1,2.241
T4423,4.266,23.1,2.241
T4424,4.258,23.1,2.241
T4425,4.22,23.1,2.241
T4426,4.22,23.1,2.241
T4427,4.205,23.1,2.241
T4428,4.182,23.1,2.241
T4429,4.174,23.1,2.241
T4430,4.227,23.1,2.241
T4431,4.235,23.1,2.241
T4432,4.227,23.1,2.241
T4433,4.212,23.1,2.241
T4434,4.205,23.1,2.241
T4435,4.182,23.1,2.241
T4436,4.174,23.1,2.241
T4437,4.159,23.1,2.241
T4438,4.159,23.1,2.241
T4439,4.159,23.1,2.241
T4440,4.166,23.1,2.241
T4441,4.159,23.1,2.241
T4442,4.174,23.1,2.241
T4443,4.174,23.1,2.241
T4444,4.159,23.1,2.241
T4445,4.159,23.1,2.241
T4446,4.128,23.1,2.241
T4447,4.098,23.1,2.241
T4448,4.06,23.1,2.241
T4449,4.045,23.1,2.241
T4450,4.022,23.1,2.241
T4451,4.037,23.1,2.241
T4452,4.006,23.1,2.241
T4453,3.945,23.1,2.241
T4454,3.991,23.1,2.241
T4455,3.945,23.1,2.241
T4456,3.877,23.1,2.241
T4457,3.885,23.1,2.241
T4458,3.93,23.1,2.241
T4459,4.029,23.1,2.241
T4460,4.128,23.1,2.241
T4461,4.205,23.1,2.241
T4462,4.258,23.1,2.241
T4463,4.319,23.1,2.241
T4464,4.349,23.1,2.241
T4465,4.38,23.1,2.241
T4466,4.403,23.1,2.241
T4467,4.426,23.1,2.241
T4468,4.395,23.1,2.241
T4469,4.365,23.1,2.241
T4470,4.372,23.1,2.241
T4471,4.342,23.1,2.241
T4472,4.273,23.1,2.241
T4473,4.342,23.1,2.241
T4474,4.273,23.1,2.241
T4475,4.243,23.1,2.241
T4476,4.128,23.1,2.241
T4477,4.189,23.1,2.241
T4478,4.09,23.1,2.241
T4479,4.136,23.1,2.241
T4480,4.128,23.1,2.241
T4481,4.189,23.1,2.241
T4482,4.22,23.1,2.241
T4483,4.235,23.1,2.241
T4484,4.273,23.1,2.241
T4485,4.334,23.1,2.241
T4486,4.403,23.1,2.241
T4487,4.426,23.1,2.241
T4488,4.471,23.1,2.241
T4489,4.509,23.1,2.241
T4490,4.525,23.1,2.241
T4491,4.517,23.1,2.241
T4492,4.494,23.1,2.241
T4493,4.479,23.1,2.241
T4494,4.471,23.1,2.241
T4495,4.494,23.1,2.241
T4496,4.372,23.1,2.266
T4497,4.326,23.1,2.266
T4498,4.243,23.1,2.266
T4499,4.205,23.1,2.266
T4500,4.174,23.1,2.266
T4501,4.151,23.1,2.266
T4502,4.166,23.1,2.266
T4503,4.342,23.1,2.266
T4504,4.395,23.1,2.266
T4505,4.319,23.1,2.266
T4506,4.494,23.1,2.266
T4507,4.471,23.1,2.266
T4508,4.448,23.1,2.266
T4509,4.456,23.1,2.266
T4510,4.494,23.1,2.266
T4511,4.54,23.1,2.266
T4512,4.601,23.1,2.266
T4513,4.639,23.1,2.266
T4514,4.669,23.1,2.266
T4515,4.677,23.1,2.266
T4516,4.647,23.1,2.266
T4517,4.616,23.1,2.266
T4518,4.578,23.1,2.266
T4519,4.502,23.1,2.266
T4520,4.448,23.1,2.266
T4521,4.41,23.1,2.266
T4522,4.365,23.1,2.266
T4523,4.296,23.1,2.266
T4524,4.25,23.1,2.266
T4525,4.296,23.1,2.266
T4526,4.273,23.1,2.266
T4527,4.189,23.1,2.266
T4528,4.166,23.1,2.266
T4529,4.166,23.1,2.266
T4530,4.166,23.1,2.266
T4531,4.205,23.1,2.266
T4532,4.273,23.1,2.266
T4533,4.372,23.1,2.266
T4534,4.494,23.1,2.266
T4535,4.532,23.1,2.266
T4536,4.563,23.1,2.266
T4537,4.616,23.1,2.266
T4538,4.692,23.1,2.266
T4539,4.723,23.1,2.266
T4540,4.761,23.1,2.266
T4541,4.723,23.1,2.266
T4542,4.608,23.1,2.266
T4543,4.479,23.1,2.266
T4544,4.403,23.1,2.266
T4545,4.334,23.1,2.266
T4546,4.273,23.1,2.266
T4547,4.212,23.1,2.266
T4548,4.212,23.1,2.266
T4549,4.235,23.1,2.266
T4550,4.22,23.1,2.266
T4551,4.235,23.1,2.266
T4552,4.197,23.1,2.266
T4553,4.212,23.1,2.266
T4554,4.266,23.1,2.266
T4555,4.281,23.1,2.266
T4556,4.365,23.1,2.266
T4557,4.41,23.1,2.266
T4558,4.441,23.1,2.266
T4559,4.487,23.1,2.266
T4560,4.517,23.1,2.266
T4561,4.578,23.1,2.266
T4562,4.639,23.1,2.266
T4563,4.677,23.1,2.266
T4564,4.715,23.1,2.266
T4565,4.639,23.1,2.266
T4566,4.426,23.1,2.266
T4567,4.372,23.1,2.266
T4568,4.342,23.1,2.266
T4569,4.326,23.1,2.266
T4570,4.334,23.1,2.266
T4571,4.365,23.1,2.266
T4572,4.441,23.1,2.266
T4573,4.502,23.1,2.266
T4574,4.479,23.1,2.266
T4575,4.448,23.1,2.266
T4576,4.418,23.1,2.266
T4577,4.464,23.1,2.266
T4578,4.464,23.1,2.266
T4579,4.41,23.1,2.266
T4580,4.441,23.1,2.266
T4581,4.479,23.1,2.266
T4582,4.479,23.1,2.266
T4583,4.494,23.1,2.266
T4584,4.525,23.1,2.266
T4585,4.563,23.1,2.266
T4586,4.586,23.1,2.266
T4587,4.578,23.1,2.266
T4588,4.608,23.1,2.266
T4589,4.593,23.1,2.266
T4590,4.532,23.1,2.266
T4591,4.456,23.1,2.266
T4592,4.365,23.1,2.266
T4593,4.288,23.1,2.266
T4594,4.22,23.1,2.266
T4595,4.197,23.1,2.266
T4596,4.189,23.1,2.266
T4597,4.136,23.1,2.266
T4598,4.098,23.1,2.266
T4599,4.083,23.1,2.266
T4600,4.083,23.1,2.266
T4601,4.151,23.1,2.266
T4602,4.144,23.1,2.266
T4603,4.174,23.1,2.266
T4604,4.25,23.1,2.266
T4605,4.342,23.1,2.266
T4606,4.41,23.1,2.266
T4607,4.441,23.1,2.266
T4608,4.525,23.1,2.266
T4609,4.586,23.1,2.266
T4610,4.624,23.1,2.266
T4611,4.669,23.1,2.266
T4612,4.662,23.1,2.266
T4613,4.654,23.1,2.266
T4614,4.563,23.1,2.266
T4615,4.433,23.1,2.266
T4616,4.372,23.1,2.266
T4617,4.311,23.1,2.266
T4618,4.266,23.1,2.266
T4619,4.174,23.1,2.266
T4620,4.121,23.1,2.266
T4621,4.128,23.1,2.266
T4622,4.083,23.1,2.266
T4623,4.151,23.1,2.266
T4624,4.166,23.1,2.266
T4625,4.151,23.1,2.266
T4626,4.144,23.1,2.266
T4627,4.159,23.1,2.266
T4628,4.205,23.1,2.266
T4629,4.235,23.1,2.266
T4630,4.25,23.1,2.266
T4631,4.266,23.1,2.266
T4632,4.365,23.1,2.266
T4633,4.38,23.1,2.266
T4634,4.464,23.1,2.266
T4635,4.502,23.1,2.266
T4636,4.563,23.1,2.266
T4637,4.517,23.1,2.266
T4638,4.502,23.1,2.266
T4639,4.433,23.1,2.266
T4640,4.326,23.1,2.266
T4641,4.319,23.1,2.266
T4642,4.304,23.1,2.266
T4643,4.235,23.1,2.266
T4644,4.212,23.1,2.266
T4645,4.166,23.1,2.266
T4646,4.098,23.1,2.266
T4647,4.052,23.1,2.266
T4648,4.067,23.1,2.266
T4649,4.052,23.1,2.266
T4650,4.037,23.1,2.266
T4651,4.06,23.1,2.266
T4652,4.106,23.1,2.266
T4653,4.212,23.1,2.266
T4654,4.273,23.1,2.266
T4655,4.273,23.1,2.266
T4656,4.365,23.1,2.266
T4657,4.456,23.1,2.266
T4658,4.502,23.1,2.266
T4659,4.487,23.1,2.266
T4660,4.479,23.1,2.266
T4661,4.441,23.1,2.266
T4662,4.311,23.1,2.266
T4663,4.243,23.1,2.266
T4664,4.151,23.1,2.266
T4665,4.144,23.1,2.266
T4666,4.09,23.1,2.266
T4667,4.075,23.1,2.266
T4668,4.045,23.1,2.266
T4669,3.945,23.1,2.266
T4670,3.923,23.1,2.266
T4671,3.945,23.1,2.266
T4672,3.984,23.1,2.266
T4673,4.045,23.1,2.266
T4674,4.075,23.1,2.266
T4675,4.106,23.1,2.266
T4676,4.166,23.1,2.266
T4677,4.235,23.1,2.266
T4678,4.266,23.1,2.266
T4679,4.258,23.1,2.266
T4680,4.273,23.1,2.266
T4681,4.258,23.1,2.266
T4682,4.258,23.1,2.266
T4683,4.304,23.1,2.266
T4684,4.319,23.1,2.266
T4685,4.342,23.1,2.266
T4686,4.342,23.1,2.266
T4687,4.319,23.1,2.266
T4688,4.266,23.1,2.266
T4689,4.227,23.1,2.266
T4690,4.205,23.1,2.266
T4691,4.159,23.1,2.266
T4692,4.144,23.1,2.266
T4693,4.159,23.1,2.266
T4694,4.136,23.1,2.266
T4695,4.045,23.1,2.266
T4696,4.006,23.1,2.266
T4697,4.045,23.1,2.266
T4698,4.106,23.1,2.266
T4699,4.189,23.1,2.266
T4700,4.288,23.1,2.266
T4701,4.273,23.1,2.266
T4702,4.304,23.1,2.266
T4703,4.319,23.1,2.266
T4704,4.334,23.1,2.266
T4705,4.357,23.1,2.266
T4706,4.395,23.1,2.266
T4707,4.41,23.1,2.266
T4708,4.426,23.1,2.266
T4709,4.464,23.1,2.266
T4710,4.41,23.1,2.266
T4711,4.281,23.1,2.266
T4712,4.227,23.1,2.266
T4713,4.197,23.1,2.266
T4714,4.151,23.1,2.266
T4715,4.144,23.1,2.266
T4716,4.075,23.1,2.266
T4717,4.083,23.1,2.266
T4718,4.098,23.1,2.266
T4719,4.075,23.1,2.266
T4720,4.075,23.1,2.266
T4721,4.083,23.1,2.266
T4722,4.098,23.1,2.266
T4723,4.113,23.1,2.266
T4724,4.144,23.1,2.266
T4725,4.227,23.1,2.266
T4726,4.266,23.1,2.266
T4727,4.273,23.1,2.266
T4728,4.273,23.1,2.266
T4729,4.281,23.1,2.266
T4730,4.296,23.1,2.266
T4731,4.304,23.1,2.266
T4732,4.304,23.1,2.266
T4733,4.296,23.1,2.266
T4734,4.25,23.1,2.266
T4735,4.166,23.1,2.266
T4736,4.09,23.1,2.266
T4737,4.006,23.1,2.266
T4738,3.999,23.1,2.266
T4739,3.953,23.1,2.266
T4740,3.93,23.1,2.266
T4741,3.923,23.1,2.266
T4742,3.892,23.1,2.266
T4743,3.885,23.1,2.266
T4744,3.877,23.1,2.266
T4745,3.885,23.1,2.266
T4746,3.877,23.1,2.266
T4747,3.907,23.1,2.266
T4748,3.976,23.1,2.266
T4749,4.09,23.1,2.266
T4750,4.09,23.1,2.266
T4751,4.113,23.1,2.266
T4752,4.258,23.1,2.266
T4753,4.342,23.1,2.266
T4754,4.349,23.1,2.266
T4755,4.365,23.1,2.266
T4756,4.334,23.1,2.266
T4757,4.326,23.1,2.266
T4758,4.189,23.1,2.266
T4759,4.045,23.1,2.266
T4760,3.93,23.1,2.266
T4761,3.907,23.1,2.266
T4762,3.869,23.1,2.266
T4763,3.816,23.1,2.266
T4764,3.77,23.1,2.266
T4765,3.755,23.1,2.266
T4766,3.74,23.1,2.266
T4767,3.755,23.1,2.266
T4768,3.778,23.1,2.266
T4769,3.808,23.1,2.266
T4770,3.862,23.1,2.266
T4771,3.915,23.1,2.266
T4772,3.968,23.1,2.266
T4773,4.075,23.1,2.266
T4774,4.113,23.1,2.266
T4775,4.106,23.1,2.266
T4776,4.106,23.1,2.266
T4777,4.121,23.1,2.266
T4778,4.09,23.1,2.266
T4779,4.106,23.1,2.266
T4780,4.128,23.1,2.266
T4781,4.067,23.1,2.266
T4782,4.052,23.1,2.266
T4783,4.006,23.1,2.266
T4784,3.9,23.1,2.266
T4785,3.793,23.1,2.266
T4786,3.74,23.1,2.266
T4787,3.725,23.1,2.266
T4788,3.679,23.1,2.266
T4789,3.633,23.1,2.266
T4790,3.618,23.1,2.266
T4791,3.61,23.1,2.266
T4792,3.595,23.1,2.266
T4793,3.679,23.1,2.266
T4794,3.74,23.1,2.266
T4795,3.74,23.1,2.266
T4796,3.801,23.1,2.266
T4797,3.846,23.1,2.266
T4798,3.862,23.1,2.266
T4799,3.93,23.1,2.266
T4800,3.976,23.1,2.266
T4801,4.006,23.1,2.266
T4802,4.037,23.1,2.266
T4803,4.075,23.1,2.266
T4804,4.098,23.1,2.266
T4805,4.128,23.1,2.266
T4806,4.136,23.1,2.266
T4807,4.121,23.1,2.266
T4808,4.189,23.1,2.266
T4809,4.212,23.1,2.266
T4810,4.189,23.1,2.266
T4811,4.083,23.1,2.266
T4812,4.06,23.1,2.266
T4813,3.968,23.1,2.266
T4814,3.945,23.1,2.266
T4815,3.923,23.1,2.266
T4816,3.93,23.1,2.266
T4817,3.968,23.1,2.266
T4818,4.006,23.1,2.266
T4819,4.037,23.1,2.266
T4820,4.083,23.1,2.266
T4821,4.151,23.1,2.266
T4822,4.235,23.1,2.266
T4823,4.296,23.1,2.266
T4824,4.418,23.1,2.266
T4825,4.464,23.1,2.266
T4826,4.509,23.1,2.266
T4827,4.563,23.1,2.266
T4828,4.547,23.1,2.266
T4829,4.509,23.1,2.266
T4830,4.487,23.1,2.266
T4831,4.41,23.1,2.266
T4832,4.281,23.1,2.266
T4833,4.212,23.1,2.266
T4834,4.159,23.1,2.266
T4835,4.083,23.1,2.266
T4836,4.029,23.1,2.266
T4837,3.984,23.1,2.266
T4838,3.984,23.1,2.266
T4839,3.976,23.1,2.266
T4840,3.953,23.1,2.266
T4841,3.984,23.1,2.266
T4842,4.029,23.1,2.266
T4843,4.052,23.1,2.266
T4844,4.113,23.1,2.266
T4845,4.205,23.1,2.266
T4846,4.273,23.1,2.266
T4847,4.342,23.1,2.266
T4848,4.365,23.1,2.266
T4849,4.418,23.1,2.266
T4850,4.464,23.1,2.266
T4851,4.601,23.1,2.266
T4852,4.647,23.1,2.266
T4853,4.647,23.1,2.266
T4854,4.525,23.1,2.266
T4855,4.38,23.1,2.266
T4856,4.281,23.1,2.266
T4857,4.205,23.1,2.266
T4858,4.166,23.1,2.266
T4859,4.098,23.1,2.266
T4860,4.098,23.1,2.266
T4861,4.052,23.1,2.266
T4862,4.006,23.1,2.266
T4863,3.976,23.1,2.266
T4864,3.999,23.1,2.266
T4865,4.029,23.1,2.266
T4866,4.045,23.1,2.266
T4867,4.113,23.1,2.266
T4868,4.144,23.1,2.266
T4869,4.22,23.1,2.266
T4870,4.25,23.1,2.266
T4871,4.296,23.1,2.266
T4872,4.433,23.1,2.266
T4873,4.471,23.1,2.266
T4874,4.616,23.1,2.266
T4875,4.654,23.1,2.266
T4876,4.685,23.1,2.266
T4877,4.669,23.1,2.266
T4878,4.54,23.1,2.266
T4879,4.395,23.1,2.266
T4880,4.281,23.1,2.266
T4881,4.197,23.1,2.266
T4882,4.113,23.1,2.266
T4883,4.029,23.1,2.266
T4884,3.999,23.1,2.266
T4885,4.014,23.1,2.266
T4886,3.999,23.1,2.266
T4887,3.968,23.1,2.266
T4888,3.991,23.1,2.266
T4889,3.968,23.1,2.266
T4890,3.999,23.1,2.266
T4891,4.083,23.1,2.266
T4892,4.151,23.1,2.266
T4893,4.182,23.1,2.266
T4894,4.197,23.1,2.266
T4895,4.266,23.1,2.266
T4896,4.357,23.1,2.266
T4897,4.38,23.1,2.266
T4898,4.342,23.1,2.266
T4899,4.281,23.1,2.266
T4900,4.243,23.1,2.266
T4901,4.212,23.1,2.266
T4902,4.189,23.1,2.266
T4903,4.189,23.1,2.266
T4904,4.205,23.1,2.266
T4905,4.212,23.1,2.266
T4906,4.166,23.1,2.266
T4907,4.083,23.1,2.266
T4908,4.052,23.1,2.266
T4909,4.014,23.1,2.266
T4910,4.022,23.1,2.266
T4911,3.915,23.1,2.266
T4912,3.907,23.1,2.266
T4913,3.892,23.1,2.266
T4914,3.953,23.1,2.266
T4915,4.006,23.1,2.266
T4916,4.06,23.1,2.266
T4917,4.144,23.1,2.266
T4918,4.235,23.1,2.266
T4919,4.296,23.1,2.266
T4920,4.334,23.1,2.266
T4921,4.372,23.1,2.266
T4922,4.387,23.1,2.266
T4923,4.418,23.1,2.266
T4924,4.601,23.1,2.266
T4925,4.669,23.1,2.266
T4926,4.471,23.1,2.266
T4927,4.326,23.1,2.266
T4928,4.22,23.1,2.266
T4929,4.159,23.1,2.266
T4930,4.098,23.1,2.266
T4931,4.052,23.1,2.266
T4932,4.006,23.1,2.266
T4933,3.984,23.1,2.266
T4934,3.961,23.1,2.266
T4935,3.968,23.1,2.266
T4936,3.976,23.1,2.266
T4937,4.006,23.1,2.266
T4938,4.029,23.1,2.266
T4939,4.037,23.1,2.266
T4940,4.06,23.1,2.266
T4941,4.06,23.1,2.266
T4942,4.06,23.1,2.266
T4943,4.052,23.1,2.266
T4944,4.037,23.1,2.266
T4945,4.029,23.1,2.266
T4946,4.037,23.1,2.266
T4947,4.067,23.1,2.266
T4948,4.09,23.1,2.266
T4949,4.09,23.1,2.266
T4950,4.09,23.1,2.266
T4951,4.06,23.1,2.266
T4952,4.014,23.1,2.266
T4953,4.006,23.1,2.266
T4954,3.93,23.1,2.266
T4955,3.938,23.1,2.266
T4956,3.961,23.1,2.266
T4957,4.09,23.1,2.266
T4958,4.121,23.1,2.266
T4959,4.067,23.1,2.266
T4960,4.029,23.1,2.266
T4961,3.968,23.1,2.266
T4962,3.907,23.1,2.266
T4963,3.945,23.1,2.266
T4964,4.037,23.1,2.266
T4965,4.182,23.1,2.266
T4966,4.273,23.1,2.266
T4967,4.319,23.1,2.266
T4968,4.342,23.1,2.266
T4969,4.342,23.1,2.266
T4970,4.342,23.1,2.266
T4971,4.349,23.1,2.266
T4972,4.38,23.1,2.266
T4973,4.456,23.1,2.266
T4974,4.319,23.1,2.266
T4975,4.197,23.1,2.266
T4976,4.144,23.1,2.266
T4977,4.09,23.1,2.266
T4978,4.067,23.1,2.266
T4979,4.052,23.1,2.266
T4980,3.991,23.1,2.266
T4981,3.999,23.1,2.266
T4982,4.029,23.1,2.266
T4983,4.022,23.1,2.266
T4984,3.991,23.1,2.266
T4985,3.968,23.1,2.266
T4986,3.953,23.1,2.266
T4987,3.976,23.1,2.266
T4988,4.006,23.1,2.266
T4989,4.06,23.1,2.266
T4990,4.09,23.1,2.266
T4991,4.09,23.1,2.266
T4992,4.106,23.1,2.266
T4993,4.121,23.1,2.266
T4994,4.151,23.1,2.266
T4995,4.144,23.1,2.266
T4996,4.128,23.1,2.266
T4997,4.113,23.1,2.266
T4998,4.09,23.1,2.266
T4999,4.052,23.1,2.266
T5000,3.984,23.1,2.266
T5001,3.923,23.1,2.266
T5002,3.839,23.1,2.266
T5003,3.816,23.1,2.266
T5004,3.74,23.1,2.266
T5005,3.732,23.1,2.266
T5006,3.763,23.1,2.266
T5007,3.793,23.1,2.266
T5008,3.808,23.1,2.266
T5009,3.869,23.1,2.266
T5010,3.945,23.1,2.266
T5011,3.984,23.1,2.266
T5012,4.06,23.1,2.266
T5013,4.144,23.1,2.266
T5014,4.212,23.1,2.266
T5015,4.266,23.1,2.266
T5016,4.319,23.1,2.266
T5017,4.334,23.1,2.266
T5018,4.365,23.1,2.266
T5019,4.365,23.1,2.266
T5020,4.387,23.1,2.266
T5021,4.342,23.1,2.266
T5022,4.326,23.1,2.266
T5023,4.273,23.1,2.266
T5024,4.235,23.1,2.266
T5025,4.174,23.1,2.266
T5026,4.189,23.1,2.266
T5027,4.166,23.1,2.266
T5028,4.136,23.1,2.266
T5029,4.121,23.1,2.266
T5030,4.09,23.1,2.266
T5031,4.09,23.1,2.266
T5032,4.113,23.1,2.266
T5033,4.159,23.1,2.266
T5034,4.205,23.1,2.266
T5035,4.25,23.1,2.266
T5036,4.372,23.1,2.266
T5037,4.357,23.1,2.266
T5038,4.365,23.1,2.266
T5039,4.395,23.1,2.266
T5040,4.41,23.1,2.266
T5041,4.403,23.1,2.266
T5042,4.41,23.1,2.266
T5043,4.403,23.1,2.266
T5044,4.433,23.1,2.266
T5045,4.426,23.1,2.266
T5046,4.395,23.1,2.266
T5047,4.41,23.1,2.266
T5048,4.387,23.1,2.266
T5049,4.296,23.1,2.266
T5050,4.273,23.1,2.266
T5051,4.25,23.1,2.266
T5052,4.159,23.1,2.266
T5053,4.113,23.1,2.266
T5054,4.098,23.1,2.266
T5055,4.06,23.1,2.266
T5056,4.067,23.1,2.266
T5057,4.06,23.1,2.266
T5058,4.06,23.1,2.266
T5059,4.09,23.1,2.266
T5060,4.128,23.1,2.266
T5061,4.22,23.1,2.266
T5062,4.266,23.1,2.266
T5063,4.326,23.1,2.266
T5064,4.395,23.1,2.266
T5065,4.426,23.1,2.266
T5066,4.395,23.1,2.266
T5067,4.372,23.1,2.266
T5068,4.387,23.1,2.266
T5069,4.403,23.1,2.266
T5070,4.395,23.1,2.266
T5071,4.372,23.1,2.266
T5072,4.342,23.1,2.266
T5073,4.304,23.1,2.266
T5074,4.243,23.1,2.266
T5075,4.144,23.1,2.266
T5076,4.06,23.1,2.266
T5077,3.961,23.1,2.266
T5078,4.022,23.1,2.266
T5079,4.045,23.1,2.266
T5080,4.022,23.1,2.266
T5081,4.006,23.1,2.266
T5082,3.961,23.1,2.266
T5083,3.938,23.1,2.266
T5084,3.968,23.1,2.266
T5085,4.166,23.1,2.266
T5086,4.205,23.1,2.266
T5087,4.235,23.1,2.266
T5088,4.334,23.1,2.266
T5089,4.365,23.1,2.266
T5090,4.418,23.1,2.266
T5091,4.441,23.1,2.266
T5092,4.433,23.1,2.266
T5093,4.426,23.1,2.266
T5094,4.304,23.1,2.266
T5095,4.159,23.1,2.266
T5096,4.067,23.1,2.266
T5097,4.006,23.1,2.266
T5098,3.968,23.1,2.266
T5099,3.938,23.1,2.266
T5100,3.907,23.1,2.266
T5101,3.877,23.1,2.266
T5102,3.854,23.1,2.266
T5103,3.854,23.1,2.266
T5104,3.824,23.1,2.266
T5105,3.839,23.1,2.266
T5106,3.816,23.1,2.266
T5107,3.869,23.1,2.266
T5108,3.923,23.1,2.266
T5109,3.984,23.1,2.266
T5110,4.022,23.1,2.266
T5111,4.037,23.1,2.266
T5112,4.037,23.1,2.266
T5113,4.014,23.1,2.266
T5114,4.006,23.1,2.266
T5115,4.045,23.1,2.266
T5116,4.067,23.1,2.266
T5117,4.098,23.1,2.266
T5118,4.113,23.1,2.266
T5119,4.113,23.1,2.266
T5120,4.067,23.1,2.266
T5121,3.968,23.1,2.266
T5122,3.885,23.1,2.266
T5123,3.816,23.1,2.266
T5124,3.793,23.1,2.266
T5125,3.816,23.1,2.266
T5126,3.831,23.1,2.266
T5127,3.846,23.1,2.266
T5128,3.854,23.1,2.266
T5129,3.824,23.1,2.266
T5130,3.846,23.1,2.266
T5131,3.953,23.1,2.266
T5132,4.006,23.1,2.266
T5133,4.045,23.1,2.266
T5134,4.045,23.1,2.266
T5135,4.037,23.1,2.266
T5136,4.067,23.1,2.266
T5137,4.121,23.1,2.266
T5138,4.174,23.1,2.266
T5139,4.212,23.1,2.266
T5140,4.273,23.1,2.266
T5141,4.357,23.1,2.266
T5142,4.357,23.1,2.266
T5143,4.281,23.1,2.266
T5144,4.205,23.1,2.266
T5145,4.151,23.1,2.266
T5146,4.067,23.1,2.266
T5147,4.052,23.1,2.266
T5148,4.037,23.1,2.266
T5149,3.991,23.1,2.266
T5150,3.953,23.1,2.266
T5151,3.892,23.1,2.266
T5152,3.869,23.1,2.266
T5153,3.968,23.1,2.266
T5154,4.052,23.1,2.266
T5155,4.052,23.1,2.266
T5156,4.075,23.1,2.266
T5157,4.159,23.1,2.266
T5158,4.197,23.1,2.266
T5159,4.311,23.1,2.266
T5160,4.395,23.1,2.266
T5161,4.349,23.1,2.266
T5162,4.326,23.1,2.266
T5163,4.395,23.1,2.266
T5164,4.448,23.1,2.266
T5165,4.487,23.1,2.266
T5166,4.433,23.1,2.266
T5167,4.326,23.1,2.266
T5168,4.235,23.1,2.266
T5169,4.159,23.1,2.266
T5170,4.09,23.1,2.266
T5171,4.029,23.1,2.266
T5172,3.953,23.1,2.266
T5173,3.923,23.1,2.266
T5174,3.915,23.1,2.266
T5175,3.915,23.1,2.266
T5176,3.93,23.1,2.266
T5177,3.915,23.1,2.266
T5178,3.938,23.1,2.266
T5179,3.984,23.1,2.266
T5180,4.06,23.1,2.266
T5181,4.189,23.1,2.266
T5182,4.25,23.1,2.266
T5183,4.273,23.1,2.266
T5184,4.357,23.1,2.266
T5185,4.441,23.1,2.266
T5186,4.471,23.1,2.266
T5187,4.517,23.1,2.266
T5188,4.479,23.1,2.266
T5189,4.41,23.1,2.266
T5190,4.334,23.1,2.266
T5191,4.212,23.1,2.266
T5192,4.136,23.1,2.266
T5193,4.075,23.1,2.266
T5194,4.006,23.1,2.266
T5195,3.945,23.1,2.266
T5196,3.877,23.1,2.266
T5197,3.846,23.1,2.266
T5198,3.801,23.1,2.266
T5199,3.785,23.1,2.266
T5200,3.801,23.1,2.266
T5201,3.839,23.1,2.266
T5202,3.839,23.1,2.266
T5203,3.877,23.1,2.266
T5204,3.93,23.1,2.266
T5205,3.938,23.1,2.266
T5206,3.968,23.1,2.266
T5207,4.014,23.1,2.266
T5208,4.106,23.1,2.266
T5209,4.128,23.1,2.266
T5210,4.151,23.1,2.266
T5211,4.166,23.1,2.266
T5212,4.205,23.1,2.266
T5213,4.212,23.1,2.266
T5214,4.113,23.1,2.266
T5215,3.938,23.1,2.266
T5216,3.831,23.1,2.266
T5217,3.785,23.1,2.266
T5218,3.747,23.1,2.266
T5219,3.702,23.1,2.266
T5220,3.633,23.1,2.266
T5221,3.625,23.1,2.266
T5222,3.603,23.1,2.266
T5223,3.61,23.1,2.266
